과목명,학교명,학년
공통국어1,덕암고등학교,1학년
공통국어2,덕암고등학교,1학년
공통수학1,덕암고등학교,1학년
공통수학2,덕암고등학교,1학년
공통영어1,덕암고등학교,1학년
공통영어2,덕암고등학교,1학년
체육1,덕암고등학교,1학년
체육2,덕암고등학교,1학년
음악,덕암고등학교,1학년
미술,덕암고등학교,1학년
기술·가정,덕암고등학교,1학년
정보,덕암고등학교,1학년
한국사1,덕암고등학교,1학년
한국사2,덕암고등학교,1학년
통합사회1,덕암고등학교,1학년
통합사회2,덕암고등학교,1학년
통합과학1,덕암고등학교,1학년
통합과학2,덕암고등학교,1학년
과학탐구실험1,덕암고등학교,1학년
과학탐구실험2,덕암고등학교,1학년
공통국어1,동국사대부금산고등학교,1학년
공통국어2,동국사대부금산고등학교,1학년
공통수학1,동국사대부금산고등학교,1학년
공통수학2,동국사대부금산고등학교,1학년
공통영어1,동국사대부금산고등학교,1학년
공통영어2,동국사대부금산고등학교,1학년
체육1,동국사대부금산고등학교,1학년
체육2,동국사대부금산고등학교,1학년
음악,동국사대부금산고등학교,1학년
미술,동국사대부금산고등학교,1학년
한국사1,동국사대부금산고등학교,1학년
한국사2,동국사대부금산고등학교,1학년
통합사회1,동국사대부금산고등학교,1학년
통합사회2,동국사대부금산고등학교,1학년
통합과학1,동국사대부금산고등학교,1학년
통합과학2,동국사대부금산고등학교,1학년
과학탐구실험1,동국사대부금산고등학교,1학년
과학탐구실험2,동국사대부금산고등학교,1학년
공통국어1,배영고등학교,1학년
공통국어2,배영고등학교,1학년
공통수학1,배영고등학교,1학년
공통수학2,배영고등학교,1학년
공통영어1,배영고등학교,1학년
공통영어2,배영고등학교,1학년
체육1,배영고등학교,1학년
체육2,배영고등학교,1학년
음악,배영고등학교,1학년
미술,배영고등학교,1학년
중국어,배영고등학교,1학년
중국어 회화,배영고등학교,1학년
한국사1,배영고등학교,1학년
한국사2,배영고등학교,1학년
통합사회1,배영고등학교,1학년
통합사회2,배영고등학교,1학년
통합과학1,배영고등학교,1학년
통합과학2,배영고등학교,1학년
과학탐구실험1,배영고등학교,1학년
과학탐구실험2,배영고등학교,1학년
공통국어1,서영여고등학교,1학년
공통국어2,서영여고등학교,1학년
공통수학1,서영여고등학교,1학년
공통수학2,서영여고등학교,1학년
공통영어1,서영여고등학교,1학년
공통영어2,서영여고등학교,1학년
체육1,서영여고등학교,1학년
체육2,서영여고등학교,1학년
한국사1,서영여고등학교,1학년
한국사2,서영여고등학교,1학년
통합사회1,서영여고등학교,1학년
통합사회2,서영여고등학교,1학년
통합과학1,서영여고등학교,1학년
통합과학2,서영여고등학교,1학년
과학탐구실험1,서영여고등학교,1학년
과학탐구실험2,서영여고등학교,1학년
음악,서영여고등학교,1학년
미술,서영여고등학교,1학년
음악,서영여고등학교,1학년
미술,서영여고등학교,1학년
공통국어1,성원고등학교,1학년
공통국어2,성원고등학교,1학년
공통수학1,성원고등학교,1학년
공통수학2,성원고등학교,1학년
공통영어1,성원고등학교,1학년
공통영어2,성원고등학교,1학년
체육1,성원고등학교,1학년
체육2,성원고등학교,1학년
한국사1,성원고등학교,1학년
한국사2,성원고등학교,1학년
통합사회1,성원고등학교,1학년
통합사회2,성원고등학교,1학년
통합과학1,성원고등학교,1학년
통합과학2,성원고등학교,1학년
과학탐구실험1,성원고등학교,1학년
과학탐구실험2,성원고등학교,1학년
음악,성원고등학교,1학년
미술,성원고등학교,1학년
정보,성원고등학교,1학년
인공지능 기초,성원고등학교,1학년
중국어,성원고등학교,1학년
일본어,성원고등학교,1학년
음악,성원고등학교,1학년
미술,성원고등학교,1학년
정보,성원고등학교,1학년
인공지능 기초,성원고등학교,1학년
중국어,성원고등학교,1학년
일본어,성원고등학교,1학년
공통국어1,신태인고등학교,1학년
공통국어2,신태인고등학교,1학년
공통수학1,신태인고등학교,1학년
공통수학2,신태인고등학교,1학년
공통영어1,신태인고등학교,1학년
공통영어2,신태인고등학교,1학년
체육1,신태인고등학교,1학년
체육2,신태인고등학교,1학년
음악,신태인고등학교,1학년
미술,신태인고등학교,1학년
한국사1,신태인고등학교,1학년
한국사2,신태인고등학교,1학년
통합사회1,신태인고등학교,1학년
통합사회2,신태인고등학교,1학년
통합과학1,신태인고등학교,1학년
통합과학2,신태인고등학교,1학년
과학탐구실험1,신태인고등학교,1학년
과학탐구실험2,신태인고등학교,1학년
공통국어1,왕신여고등학교,1학년
공통국어2,왕신여고등학교,1학년
공통수학1,왕신여고등학교,1학년
공통수학2,왕신여고등학교,1학년
공통영어1,왕신여고등학교,1학년
공통영어2,왕신여고등학교,1학년
체육1,왕신여고등학교,1학년
체육2,왕신여고등학교,1학년
음악,왕신여고등학교,1학년
미술,왕신여고등학교,1학년
한국사1,왕신여고등학교,1학년
한국사2,왕신여고등학교,1학년
통합사회1,왕신여고등학교,1학년
통합사회2,왕신여고등학교,1학년
통합과학1,왕신여고등학교,1학년
통합과학2,왕신여고등학교,1학년
과학탐구실험1,왕신여고등학교,1학년
과학탐구실험2,왕신여고등학교,1학년
공통국어1,인상고등학교,1학년
공통국어2,인상고등학교,1학년
공통수학1,인상고등학교,1학년
공통수학2,인상고등학교,1학년
공통영어1,인상고등학교,1학년
공통영어2,인상고등학교,1학년
체육1,인상고등학교,1학년
체육2,인상고등학교,1학년
한국사1,인상고등학교,1학년
한국사2,인상고등학교,1학년
통합사회1,인상고등학교,1학년
통합사회2,인상고등학교,1학년
진로와 직업,인상고등학교,1학년
보건,인상고등학교,1학년
통합과학1,인상고등학교,1학년
통합과학2,인상고등학교,1학년
과학탐구실험1,인상고등학교,1학년
과학탐구실험2,인상고등학교,1학년
공통국어1,인월고등학교,1학년
공통국어2,인월고등학교,1학년
공통수학1,인월고등학교,1학년
공통수학2,인월고등학교,1학년
공통영어1,인월고등학교,1학년
공통영어2,인월고등학교,1학년
체육1,인월고등학교,1학년
체육2,인월고등학교,1학년
기술·가정,인월고등학교,1학년
한국사1,인월고등학교,1학년
한국사2,인월고등학교,1학년
통합사회1,인월고등학교,1학년
통합사회2,인월고등학교,1학년
진로와 직업,인월고등학교,1학년
통합과학1,인월고등학교,1학년
통합과학2,인월고등학교,1학년
과학탐구실험1,인월고등학교,1학년
과학탐구실험2,인월고등학교,1학년
음악,인월고등학교,1학년
미술,인월고등학교,1학년
공통국어1,정읍고등학교,1학년
공통국어2,정읍고등학교,1학년
공통수학1,정읍고등학교,1학년
공통수학2,정읍고등학교,1학년
공통영어1,정읍고등학교,1학년
공통영어2,정읍고등학교,1학년
체육1,정읍고등학교,1학년
체육2,정읍고등학교,1학년
미술,정읍고등학교,1학년
미술 창작,정읍고등학교,1학년
한국사1,정읍고등학교,1학년
한국사2,정읍고등학교,1학년
통합사회1,정읍고등학교,1학년
통합사회2,정읍고등학교,1학년
통합과학1,정읍고등학교,1학년
통합과학2,정읍고등학교,1학년
과학탐구실험1,정읍고등학교,1학년
과학탐구실험2,정읍고등학교,1학년
일본어,정읍고등학교,1학년
한문,정읍고등학교,1학년
일본어,정읍고등학교,1학년
한문,정읍고등학교,1학년
공통국어1,정읍여고등학교,1학년
공통국어2,정읍여고등학교,1학년
공통수학1,정읍여고등학교,1학년
공통수학2,정읍여고등학교,1학년
공통영어1,정읍여고등학교,1학년
공통영어2,정읍여고등학교,1학년
체육1,정읍여고등학교,1학년
체육2,정읍여고등학교,1학년
한국사1,정읍여고등학교,1학년
한국사2,정읍여고등학교,1학년
통합사회1,정읍여고등학교,1학년
통합사회2,정읍여고등학교,1학년
통합과학1,정읍여고등학교,1학년
통합과학2,정읍여고등학교,1학년
과학탐구실험1,정읍여고등학교,1학년
과학탐구실험2,정읍여고등학교,1학년
음악,정읍여고등학교,1학년
미술,정읍여고등학교,1학년
음악,정읍여고등학교,1학년
미술,정읍여고등학교,1학년
조형 탐구,정읍여고등학교,1학년
기술·가정,정읍여고등학교,1학년
중국어,정읍여고등학교,1학년
일본어,정읍여고등학교,1학년
기술·가정,정읍여고등학교,1학년
중국어,정읍여고등학교,1학년
일본어,정읍여고등학교,1학년
공통국어1,정주고등학교,1학년
공통국어2,정주고등학교,1학년
공통수학1,정주고등학교,1학년
공통수학2,정주고등학교,1학년
공통영어1,정주고등학교,1학년
공통영어2,정주고등학교,1학년
체육1,정주고등학교,1학년
체육2,정주고등학교,1학년
미술,정주고등학교,1학년
미술 감상과 비평,정주고등학교,1학년
한국사1,정주고등학교,1학년
한국사2,정주고등학교,1학년
통합사회1,정주고등학교,1학년
통합사회2,정주고등학교,1학년
통합과학1,정주고등학교,1학년
통합과학2,정주고등학교,1학년
과학탐구실험1,정주고등학교,1학년
과학탐구실험2,정주고등학교,1학년
인간과 철학,정주고등학교,1학년
인간과 심리,정주고등학교,1학년
진로와 직업,정주고등학교,1학년
논리와 사고,정주고등학교,1학년
독서와 작문,만경고등학교,2학년
문학,만경고등학교,2학년
대수,만경고등학교,2학년
미적분Ⅰ,만경고등학교,2학년
영어Ⅰ,만경고등학교,2학년
영어Ⅱ,만경고등학교,2학년
스포츠 생활1,만경고등학교,2학년
스포츠 생활2,만경고등학교,2학년
세계사,만경고등학교,2학년
사회와 문화,만경고등학교,2학년
현대사회와 윤리,만경고등학교,2학년
지구과학,만경고등학교,2학년
음악,만경고등학교,2학년
미술,만경고등학교,2학년
인공지능 기초,만경고등학교,2학년
중국어 회화,만경고등학교,2학년
진로와 직업,만경고등학교,2학년
보건,만경고등학교,2학년
세계사,만경고등학교,2학년
사회와 문화,만경고등학교,2학년
현대사회와 윤리,만경고등학교,2학년
생명과학,만경고등학교,2학년
음악,만경고등학교,2학년
미술,만경고등학교,2학년
인공지능 기초,만경고등학교,2학년
중국어 회화,만경고등학교,2학년
진로와 직업,만경고등학교,2학년
