과목,과목유형,1학년,2학년,3학년,학교명
미적분Ⅱ,진로 선택,0,0,1,정읍고
영어 독해와 작문,일반 선택,0,0,1,정읍고
심화 영어,진로 선택,0,0,1,정읍고
한문 고전 읽기,진로 선택,0,0,1,정읍고
일본 문화,융합 선택,0,0,1,정읍고
도시의 미래 탐구,진로 선택,0,0,1,정읍고
경제,진로 선택,0,0,1,정읍고
윤리와 사상,진로 선택,0,0,1,정읍고
진로와 직업,일반 선택,0,0,1,정읍고
생태와 환경,일반 선택,0,0,1,정읍고
역학과 에너지,진로 선택,0,0,1,정읍고
화학 반응의 세계,진로 선택,0,0,1,정읍고
생물의 유전,진로 선택,0,0,1,정읍고
지구시스템과학,진로 선택,0,0,1,정읍고
한문 고전 읽기,진로 선택,0,0,1,정읍고
일본 문화,융합 선택,0,0,1,정읍고
여행지리,융합 선택,0,0,1,정읍고
사회문제 탐구,융합 선택,0,0,1,정읍고
윤리문제 탐구,융합 선택,0,0,1,정읍고
진로와 직업,일반 선택,0,0,1,정읍고
생태와 환경,일반 선택,0,0,1,정읍고
전자기와 양자,진로 선택,0,0,1,정읍고
화학 반응의 세계,진로 선택,0,0,1,정읍고
생물의 유전,진로 선택,0,0,1,정읍고
지구시스템과학,진로 선택,0,0,1,정읍고
공통국어1,공통 과목,1,0,0,정읍여고
공통국어2,공통 과목,1,0,0,정읍여고
화법과 언어,일반 선택,0,1,0,정읍여고
독서와 작문,일반 선택,0,0,1,정읍여고
문학,일반 선택,0,1,0,정읍여고
공통수학1,공통 과목,1,0,0,정읍여고
공통수학2,공통 과목,1,0,0,정읍여고
대수,일반 선택,0,1,0,정읍여고
미적분Ⅰ,일반 선택,0,1,0,정읍여고
확률과 통계,일반 선택,0,0,1,정읍여고
공통영어1,공통 과목,1,0,0,정읍여고
공통영어2,공통 과목,1,0,0,정읍여고
영어Ⅰ,일반 선택,0,1,0,정읍여고
영어Ⅱ,일반 선택,0,1,0,정읍여고
심화 영어,진로 선택,0,0,1,정읍여고
체육1,일반 선택,1,0,0,정읍여고
체육2,일반 선택,1,0,0,정읍여고
운동과 건강,진로 선택,0,1,0,정읍여고
스포츠 문화,진로 선택,0,0,1,정읍여고
스포츠 과학,진로 선택,0,0,1,정읍여고
스포츠 생활1,융합 선택,0,1,0,정읍여고
한국사1,공통 과목,1,0,0,정읍여고
한국사2,공통 과목,1,0,0,정읍여고
통합사회1,공통 과목,1,0,0,정읍여고
통합사회2,공통 과목,1,0,0,정읍여고
진로와 직업,일반 선택,0,1,0,정읍여고
통합과학1,공통 과목,1,0,0,정읍여고
통합과학2,공통 과목,1,0,0,정읍여고
과학탐구실험1,공통 과목,1,0,0,정읍여고
과학탐구실험2,공통 과목,1,0,0,정읍여고
음악,일반 선택,1,0,0,정읍여고
미술,일반 선택,1,0,0,정읍여고
음악,일반 선택,1,0,0,정읍여고
미술,일반 선택,1,0,0,정읍여고
조형 탐구,진로 선택,1,0,0,정읍여고
기술·가정,일반 선택,1,0,0,정읍여고
중국어,일반 선택,1,0,0,정읍여고
일본어,일반 선택,1,0,0,정읍여고
기술·가정,일반 선택,1,0,0,정읍여고
중국어,일반 선택,1,0,0,정읍여고
일본어,일반 선택,1,0,0,정읍여고
문학과 영상,진로 선택,0,1,0,정읍여고
기하,진로 선택,0,1,0,정읍여고
영어 독해와 작문,일반 선택,0,1,0,정읍여고
미술사,진로 선택,0,1,0,정읍여고
미술과 사회,융합 선택,0,1,0,정읍여고
음악 연주와 창작,진로 선택,0,1,0,정읍여고
미술 창작,진로 선택,0,1,0,정읍여고
음악 연주와 창작,진로 선택,0,1,0,정읍여고
미술 창작,진로 선택,0,1,0,정읍여고
세계사,일반 선택,0,1,0,정읍여고
현대사회와 윤리,일반 선택,0,1,0,정읍여고
한국지리 탐구,진로 선택,0,1,0,정읍여고
정치,진로 선택,0,1,0,정읍여고
법과 사회,진로 선택,0,1,0,정읍여고
물리학,일반 선택,0,1,0,정읍여고
생명과학,일반 선택,0,1,0,정읍여고
융합과학 탐구,융합 선택,0,1,0,정읍여고
드로잉,진로 선택,0,1,0,정읍여고
세계시민과 지리,일반 선택,0,1,0,정읍여고
사회와 문화,일반 선택,0,1,0,정읍여고
동아시아 역사 기행,진로 선택,0,1,0,정읍여고
경제,진로 선택,0,1,0,정읍여고
인문학과 윤리,진로 선택,0,1,0,정읍여고
화학,일반 선택,0,1,0,정읍여고
지구과학,일반 선택,0,1,0,정읍여고
역학과 에너지,진로 선택,0,1,0,정읍여고
세포와 물질대사,진로 선택,0,1,0,정읍여고
독서 토론과 글쓰기,융합 선택,0,0,1,정읍여고
미적분Ⅱ,진로 선택,0,0,1,정읍여고
세계 문화와 영어,융합 선택,0,0,1,정읍여고
조형 탐구,진로 선택,0,0,1,정읍여고
미술 매체 탐구,융합 선택,0,0,1,정읍여고
역사로 탐구하는 현대 세계,융합 선택,0,0,1,정읍여고
사회문제 탐구,융합 선택,0,0,1,정읍여고
기후변화와 지속가능한 세계,융합 선택,0,0,1,정읍여고
전자기와 양자,진로 선택,0,0,1,정읍여고
물질과 에너지,진로 선택,0,0,1,정읍여고
화학 반응의 세계,진로 선택,0,0,1,정읍여고
생물의 유전,진로 선택,0,0,1,정읍여고
지구시스템과학,진로 선택,0,0,1,정읍여고
행성우주과학,진로 선택,0,0,1,정읍여고
융합과학 탐구,융합 선택,0,0,1,정읍여고
생활과학 탐구,진로 선택,0,0,1,정읍여고
일본 문화,융합 선택,0,0,1,정읍여고
생태와 환경,일반 선택,0,0,1,정읍여고
주제 탐구 독서,진로 선택,0,0,1,정읍여고
언어생활 탐구,융합 선택,0,0,1,정읍여고
영어 발표와 토론,진로 선택,0,0,1,정읍여고
미디어 영어,융합 선택,0,0,1,정읍여고
인공지능 수학,진로 선택,0,0,1,정읍여고
수학과제 탐구,융합 선택,0,0,1,정읍여고
여행지리,융합 선택,0,0,1,정읍여고
금융과 경제생활,융합 선택,0,0,1,정읍여고
윤리문제 탐구,융합 선택,0,0,1,정읍여고
과학의 역사와 문화,융합 선택,0,0,1,정읍여고
기후변화와 환경생태,융합 선택,0,0,1,정읍여고
지식 재산 일반,융합 선택,0,0,1,정읍여고
일본 문화,융합 선택,0,0,1,정읍여고
논술,융합 선택,0,0,1,정읍여고
인간과 심리,진로 선택,0,1,0,정읍여고
보건,진로 선택,0,1,0,정읍여고
인간과 경제활동,융합 선택,0,1,0,정읍여고
공통국어1,공통 과목,1,0,0,정주고
공통국어2,공통 과목,1,0,0,정주고
공통수학1,공통 과목,1,0,0,정주고
공통수학2,공통 과목,1,0,0,정주고
공통영어1,공통 과목,1,0,0,정주고
공통영어2,공통 과목,1,0,0,정주고
체육1,일반 선택,1,0,0,정주고
체육2,일반 선택,1,0,0,정주고
운동과 건강,진로 선택,0,1,0,정주고
스포츠 문화,진로 선택,0,0,1,정주고
스포츠 과학,진로 선택,0,0,1,정주고
스포츠 생활1,융합 선택,0,1,0,정주고
음악,일반 선택,0,1,0,정주고
미술,일반 선택,1,0,0,정주고
음악 감상과 비평,진로 선택,0,1,0,정주고
미술 감상과 비평,진로 선택,1,0,0,정주고
한국사1,공통 과목,1,0,0,정주고
한국사2,공통 과목,1,0,0,정주고
통합사회1,공통 과목,1,0,0,정주고
통합사회2,공통 과목,1,0,0,정주고
통합과학1,공통 과목,1,0,0,정주고
통합과학2,공통 과목,1,0,0,정주고
과학탐구실험1,공통 과목,1,0,0,정주고
과학탐구실험2,공통 과목,1,0,0,정주고
인간과 철학,진로 선택,1,0,0,정주고
인간과 심리,진로 선택,1,0,0,정주고
진로와 직업,일반 선택,1,0,0,정주고
논리와 사고,진로 선택,1,0,0,정주고
문학,일반 선택,0,1,0,정주고
대수,일반 선택,0,1,0,정주고
영어Ⅰ,일반 선택,0,1,0,정주고
세계시민과 지리,일반 선택,0,1,0,정주고
사회와 문화,일반 선택,0,1,0,정주고
현대사회와 윤리,일반 선택,0,1,0,정주고
물리학,일반 선택,0,1,0,정주고
화학,일반 선택,0,1,0,정주고
생명과학,일반 선택,0,1,0,정주고
지구과학,일반 선택,0,1,0,정주고
화법과 언어,일반 선택,0,1,0,정주고
미적분Ⅰ,일반 선택,0,1,0,정주고
영어Ⅱ,일반 선택,0,1,0,정주고
세계시민과 지리,일반 선택,0,1,0,정주고
사회와 문화,일반 선택,0,1,0,정주고
현대사회와 윤리,일반 선택,0,1,0,정주고
정치,진로 선택,0,1,0,정주고
법과 사회,진로 선택,0,1,0,정주고
윤리와 사상,진로 선택,0,1,0,정주고
물리학,일반 선택,0,1,0,정주고
화학,일반 선택,0,1,0,정주고
생명과학,일반 선택,0,1,0,정주고
지구과학,일반 선택,0,1,0,정주고
기술·가정,일반 선택,0,1,0,정주고
중국어,일반 선택,0,1,0,정주고
일본어,일반 선택,0,1,0,정주고
한문,일반 선택,0,1,0,정주고
아동발달과 부모,융합 선택,0,1,0,정주고
중국어 회화,진로 선택,0,1,0,정주고
한문 고전 읽기,진로 선택,0,1,0,정주고
일본 문화,융합 선택,0,1,0,정주고
독서와 작문,일반 선택,0,0,1,정주고
문학과 영상,진로 선택,0,0,1,정주고
확률과 통계,일반 선택,0,0,1,정주고
미적분Ⅱ,진로 선택,0,0,1,정주고
경제 수학,진로 선택,0,0,1,정주고
영어 독해와 작문,일반 선택,0,0,1,정주고
영미 문학 읽기,진로 선택,0,0,1,정주고
주제 탐구 독서,진로 선택,0,0,1,정주고
언어생활 탐구,융합 선택,0,0,1,정주고
기하,진로 선택,0,0,1,정주고
수학과제 탐구,융합 선택,0,0,1,정주고
심화 영어,진로 선택,0,0,1,정주고
세계 문화와 영어,융합 선택,0,0,1,정주고
한국지리 탐구,진로 선택,0,0,1,정주고
사회문제 탐구,융합 선택,0,0,1,정주고
윤리문제 탐구,융합 선택,0,0,1,정주고
전자기와 양자,진로 선택,0,0,1,정주고
화학 반응의 세계,진로 선택,0,0,1,정주고
세포와 물질대사,진로 선택,0,0,1,정주고
지구시스템과학,진로 선택,0,0,1,정주고
고급 물리학,진로 선택,0,0,1,정주고
고급 생명과학,진로 선택,0,0,1,정주고
도시의 미래 탐구,진로 선택,0,0,1,정주고
인문학과 윤리,진로 선택,0,0,1,정주고
금융과 경제생활,융합 선택,0,0,1,정주고
과학의 역사와 문화,융합 선택,0,0,1,정주고
기후변화와 환경생태,융합 선택,0,0,1,정주고
융합과학 탐구,융합 선택,0,0,1,정주고
생활과학 탐구,진로 선택,0,0,1,정주고
언어생활과 한자,융합 선택,0,0,1,정주고
심화 일본어,진로 선택,0,0,1,정주고
일본어 회화,진로 선택,0,0,1,정주고
교육의 이해,진로 선택,0,0,1,정주고
인간과 경제활동,융합 선택,0,0,1,정주고
